Name,Budget,Year,Genre,Rating,Letterboxd URI,Length
Sheitan Warrior,"$340,000",2006,,3,https://boxd.it/3Lfi,
Shrek,"$60,000,000",2001,,5,https://boxd.it/29zi,
Shrek 2,"$70,000,000",2004,,4,https://boxd.it/29z8,
Shrek Forever After,"$150,000,000",2010,,4,https://boxd.it/1WRo,
Shrek the Third,"$160,000,000",2007,,3.5,https://boxd.it/29yY,
Shutter Island,"$80,000,000",2010,,5,https://boxd.it/1U82,
Silent Hill,"$50,000,000",2006,,4,https://boxd.it/2a3C,
Silent Hill: Revelation 3D,"$20,000,000",2012,,2.5,https://boxd.it/eH8,
Sinister,"$3,000,000",2012,,3.5,https://boxd.it/2TnW,
Skinning,"$550,000",2010,,3.5,https://boxd.it/njk,
Sky Hook,$0,2000,,4,https://boxd.it/3IhA,
Snow White and the Seven Dwarfs,"$1,500,000",1937,,4,https://boxd.it/2arO,
Snowpiercer,"$40,000,000",2013,,3.5,https://boxd.it/3Icg,
Son of the Mask,"$92,000,000",2005,,2.5,https://boxd.it/1WNQ,
Source Code,"$31,900,000",2011,,4,https://boxd.it/fdo,
Space Jam,"$80,000,000",1996,,3.5,https://boxd.it/26YO,
Spider-Man,"$139,000,000",2002,,4.5,https://boxd.it/2a8i,
Spider-Man 2,"$200,000,000",2004,,4,https://boxd.it/2a88,
Spider-Man 3,"$304,000,000",2007,,4.5,https://boxd.it/2a7Y,
Spider-Man: Far From Home,"$160,000,000",2019,,4,https://boxd.it/fegG,
Spider-Man: Homecoming,"$175,000,000",2017,,5,https://boxd.it/aboM,
Spider-Man: No Way Home,"$200,000,000",2021,,4.5,https://boxd.it/nwRw,
Spiral: From the Book of Saw,"$20,000,000",2021,,,https://boxd.it/meXk,
Spirited Away,"$19,000,000",2001,,5,https://boxd.it/2b4m,
Squid Game,"$21,400,000",2021,,4,https://boxd.it/x1OG,
Steins;Gate,$0,2011,,5,https://boxd.it/psNE,
Steins;Gate 0,$0,2018,,4.5,https://boxd.it/px40,
Strawberry in the Supermarket,$0,2003,,3.5,https://boxd.it/1U0i,
Sweeney Todd: The Demon Barber of Fleet Street,"$50,000,000",2007,,4.5,https://boxd.it/1PcS,
Tarzan,"$130,000,000",1999,,4.5,https://boxd.it/18YO,
Ted,"$65,000,000",2012,,3.5,https://boxd.it/2pgc,
Tenacious D in The Pick of Destiny,"$19,500,000",2006,,4.5,https://boxd.it/27go,
Tenet,"$205,000,000",2020,,4.5,https://boxd.it/leq4,
Terminator 2: Judgment Day,"$51,000,000",1991,,4.5,https://boxd.it/2aGY,
Terminator Genisys,"$156,500,000",2015,,2,https://boxd.it/35s0,
Terrifier,"$2,000,000",2016,,2,https://boxd.it/eRzg,
The Amazing Spider-Man,"$220,000,000",2012,,3.5,https://boxd.it/27PI,
The Amazing Spider-Man 2,"$246,500,000",2014,,3.5,https://boxd.it/3utM,
The Avengers,"$356,000,000",2012,,3.5,https://boxd.it/1xFW,
The Black Bomber,$0,1992,,4.5,https://boxd.it/3Ggg,
The Blair Witch Project,"$475,000",1999,,1.5,https://boxd.it/26ua,
The Boy in the Striped Pyjamas,"$12,500,000",2008,,4,https://boxd.it/1NOK,
The Breakfast Club,"$1,000,000",1985,,4,https://boxd.it/27q4,
The Butterfly Effect,"$13,000,000",2004,,5,https://boxd.it/27M0,
The Butterfly Effect 2,$0,2006,,2,https://boxd.it/1NIM,
The Butterfly Effect 3: Revelations,"$4,500,000",2009,,2,https://boxd.it/1KtY,
The Cabin in the Woods, ,2011,,3.5,https://boxd.it/1zOc,
The Collection,,2012,,3,https://boxd.it/4lKm,
The Collector,,2009,,3.5,https://boxd.it/1BY4,
The Conjuring,,2013,,3.5,https://boxd.it/4sr2,
The Craft,,1996,,3,https://boxd.it/1Zai,
The Curious Case of Benjamin Button,,2008,,5,https://boxd.it/23Fk,
The Dark Knight,,2008,,5,https://boxd.it/2b0k,
The Dark Knight Rises,,2012,,4.5,https://boxd.it/H3m,
The Dictator,,2012,,4,https://boxd.it/2DEW,
The Final Destination,,2009,,2.5,https://boxd.it/1EmW,
The Future Diary,,2011,,3,https://boxd.it/qIFS,
The Godfather,,1972,,4,https://boxd.it/2aNK,
The Hobbit: An Unexpected Journey,,2012,,5,https://boxd.it/GZk,
The Hobbit: The Battle of the Five Armies,,2014,,5,https://boxd.it/43aU,
The Hobbit: The Desolation of Smaug,,2013,,5,https://boxd.it/nmS,
The Hunger Games,,2012,,4,https://boxd.it/2uds,
The Hunger Games: Catching Fire,,2013,,4,https://boxd.it/3sAw,
The Hunger Games: Mockingjay – Part 1,,2014,,3.5,https://boxd.it/4hka,
The Hunger Games: Mockingjay – Part 2,,2015,,3.5,https://boxd.it/4hk0,
The Incredible Hulk,,2008,,3,https://boxd.it/28dU,
The Invisible Man,,2020,,3.5,https://boxd.it/kWlA,
The Lion King,,1994,,5,https://boxd.it/201Q,
The Little Mermaid,,1989,,4,https://boxd.it/1WYO,
The Lobster,,2015,,5,https://boxd.it/7tnw,
The Lord of the Rings: The Fellowship of the Ring,,2001,,5,https://boxd.it/2b5O,
The Lord of the Rings: The Return of the King,,2003,,5,https://boxd.it/2b5u,
The Lord of the Rings: The Two Towers,,2002,,5,https://boxd.it/2b5E,
The Martian,,2015,,4,https://boxd.it/8SeG,
The Marvels,,2023,,2.5,https://boxd.it/mwU4,
The Mask,,1994,,4,https://boxd.it/29rS,
The Matrix,,1999,,5,https://boxd.it/2a1m,
The Matrix Reloaded,,2003,,4,https://boxd.it/2a1c,
The Matrix Revolutions,,2003,,4,https://boxd.it/2a12,
The Maze Runner,,2014,,4.5,https://boxd.it/5YPM,
The Menu,,2022,,4,https://boxd.it/lScm,
The Ninth Gate,,1999,,,https://boxd.it/29YM,
The Penguin,,2024,,4.5,https://boxd.it/QkIU,
The Platform,,2019,,4.5,https://boxd.it/mUm6,
The Platform 2,,2024,,4,https://boxd.it/Gz88,
The Prestige,,2006,,5,https://boxd.it/293w,
The Purge,,2013,,3,https://boxd.it/4Xg0,
The Purge: Anarchy,,2014,,3,https://boxd.it/71zk,
The Purge: Election Year,,2016,,3,https://boxd.it/ae5I,
The Queen's Gambit,,2020,,4,https://boxd.it/s1Ym,
The Road to El Dorado,,2000,,4.5,https://boxd.it/1W6s,
The Silence of the Lambs,,1991,,5,https://boxd.it/2aHW,
The SpongeBob SquarePants Movie,,2004,,4,https://boxd.it/1SYq,
The Substance,,2024,,3,https://boxd.it/zanS,
The Terminal,,2004,,4.5,https://boxd.it/2a2O,
The Terminator,,1984,,4,https://boxd.it/2aQY,
The Truman Show,,1998,,4.5,https://boxd.it/18U8,
The Union,,2024,,2,https://boxd.it/qkD4,
The Village,,2004,,3,https://boxd.it/21iS,
The Void,,2016,,3,https://boxd.it/d93S,
The Watchers,,2024,,3,https://boxd.it/F6Rw,
The Wolverine,,2013,,3.5,https://boxd.it/2CWU,
The Wounds,,1998,,4.5,https://boxd.it/CjO,
Time Lapse,,2014,,3.5,https://boxd.it/8hCQ,
Time Trap,,2017,,3.5,https://boxd.it/ggMw,
Train to Busan,,2016,,3.5,https://boxd.it/dSQU,
Tusk,,2014,,2,https://boxd.it/7eoa,
Underground,,1995,,4.5,https://boxd.it/1SOA,
Upgrade,,2018,,3,https://boxd.it/i4gW,
Vampire Hunter D: Bloodlust,,2000,,4,https://boxd.it/1L3i,
Venom,,2018,,5,https://boxd.it/b8wA,
Venom: Let There Be Carnage,,2021,,5,https://boxd.it/llco,
Venom: The Last Dance,,2024,,5,https://boxd.it/ynqo,
What Happened to Monday,,2017,,3.5,https://boxd.it/ejUu,
Wheels,,1998,,3.5,https://boxd.it/1zuc,
"When I Grow Up, I'll Be a Kangaroo",,2004,,4,https://boxd.it/syY,
Would You Rather,,2012,,3,https://boxd.it/3m0W,
Wrong Turn,,2003,,2.5,https://boxd.it/1Xzq,
Wrong Turn 2: Dead End,,2007,,2.5,https://boxd.it/1QDA,
Wrong Turn 3: Left for Dead,,2009,,2,https://boxd.it/1yJ6,
X-Men Origins: Wolverine,,2009,,4,https://boxd.it/27ug,
Yes Man,,2008,,3.5,https://boxd.it/1WPW,
Yu-Gi-Oh!,,1998,,5,https://boxd.it/u3RQ,
Zombieland,,2009,,3.5,https://boxd.it/1En6,
