Title,Budget,Year,Genre,Rating,LetterboxdRating,Letterboxd URI,Length,Actors
Forrest Gump,55000000,1994,Drama|Comedy|Romance,4.5,4.15,https://boxd.it/728,142,Tom Hanks|Robin Wright|Gary Sinise
Freddy vs. Jason,25000000,2003,Horror,2,2.72,https://boxd.it/21FC,97,Robert Englund|Ken Kirzinger|Monica Keena
Friday the 13th,550000,1980,Horror,3.5,3,https://boxd.it/24fs,95,Betsy Palmer|Adrienne King|Jeannine Taylor
Frozen,150000000,2013,Fantasy|Animation|Adventure|Family,3,3.44,https://boxd.it/3GNa,102,Kristen Bell|Idina Menzel|Jonathan Groff
Frozen Stiff,0,2002,Drama|Comedy,4.5,3.84,https://boxd.it/1Mtc,90,Nikola ?uri?ko|Sonja Kola?ari?|Tara Mani?
GANTZ:O,0,2016,ScienceFiction|Animation|Action,4,3.35,https://boxd.it/dRTI,95,Yuki Kaji|Daisuke Ono|Saori Hayami
Ghost in the Shell,0,1995,Animation|ScienceFiction|Action,4,4.09,https://boxd.it/1YYc,83,Atsuko Tanaka|Akio Otsuka|Iemasa Kayumi
Ghost in the Shell,110000000,2017,Drama|Action|ScienceFiction,3,2.6,https://boxd.it/abTA,107,Scarlett Johansson|Takeshi Kitano|Michael Pitt
Ghost Rider,120000000,2007,Fantasy|Thriller|Action,3.5,2.42,https://boxd.it/290M,114,Nicolas Cage|Eva Mendes|Sam Elliott
Ghost Rider: Spirit of Vengeance,50000000,2011,Action|Thriller|Fantasy,2.5,1.87,https://boxd.it/2qne,96,Nicolas Cage|Fergus Riordan|Violante Placido
Gravity,110000000,2013,Thriller|Drama|ScienceFiction,3.5,3.51,https://boxd.it/GZY,91,Sandra Bullock|George Clooney|Ed Harris
Green Lantern,200000000,2011,Thriller|Action|Adventure|ScienceFiction,2.5,1.57,https://boxd.it/QN4,114,Ryan Reynolds|Blake Lively|Peter Sarsgaard
Guardians of the Galaxy,170000000,2014,Adventure|Action|ScienceFiction,4,3.8,https://boxd.it/3VH2,121,Chris Pratt|Zoe Salda�a|Dave Bautista
Guardians of the Galaxy Vol. 2,200000000,2017,Action|ScienceFiction|Adventure,3.5,3.53,https://boxd.it/8MxC,137,Chris Pratt|Zoe Salda�a|Dave Bautista
Guardians of the Galaxy Vol. 3,250000000,2023,Action|Adventure|ScienceFiction,4,3.95,https://boxd.it/fVNI,150,Chris Pratt|Zoe Salda�a|Dave Bautista
Hellbound: Hellraiser II,6000000,1988,Horror|Fantasy|Thriller,4,3.24,https://boxd.it/1ZfW,97,Ashley Laurence|Clare Higgins|Kenneth Cranham
Hellraiser,1000000,1987,Horror|Fantasy|Thriller,5,3.53,https://boxd.it/1Zpi,94,Clare Higgins|Ashley Laurence|Sean Chapman
Hellraiser III: Hell on Earth,5000000,1992,Thriller|Horror,3,2.74,https://boxd.it/1TwW,93,Terry Farrell|Doug Bradley|Kevin Bernhardt
Hellraiser: Bloodline,4000000,1996,Horror|ScienceFiction,3,2.38,https://boxd.it/1ZSk,86,Bruce Ramsay|Valentina Vargas|Doug Bradley
Hellraiser: Deader,2000000,2005,Thriller|Horror|Mystery,3,1.81,https://boxd.it/1IEA,89,Kari Wuhrer|Paul Rhys|Simon Kunz
Hellraiser: Hellseeker,5000000,2002,Thriller|Horror|Mystery,3,2.03,https://boxd.it/1Uh4,89,Dean Winters|Ashley Laurence|Rachel Hayward
Hellraiser: Hellworld,5000000,2005,Fantasy|ScienceFiction|Horror,3,1.9,https://boxd.it/1Rom,95,Katheryn Winnick|Christopher Jacot|Henry Cavill
Hellraiser: Inferno,2000000,2000,Mystery|Horror|Fantasy,4,2.38,https://boxd.it/1RCe,100,Craig Sheffer|Nicholas Turturro|James Remar
Hellraiser: Revelations,300000,2011,Horror,3,1.31,https://boxd.it/2ta8,75,Steven Brand|Nick Eversman|Tracey Fairaway
Help! I'm a Fish,18000000,2000,Family|Animation|Adventure|Comedy|Drama,4,3.41,https://boxd.it/1RAs,80,Sebastian Jessen|Pil Neja|Morten Kerrn Nielsen
Hercules,85000000,1997,Animation|Adventure|Romance|Comedy|Fantasy|Family,5,3.82,https://boxd.it/1SDW,93,Tate Donovan|Josh Keaton|Roger Bart
Horton Hears a Who!,85000000,2008,Animation|Comedy|Family|Adventure|Fantasy,3.5,3.07,https://boxd.it/1SfA,86,Jim Carrey|Steve Carell|Carol Burnett
Hostel,4800000,2005,Horror,3.5,2.73,https://boxd.it/28ig,94,Jay Hernandez|Derek Richardson|Eythor Gudjonsson
How High,12000000,2001,Comedy,4,2.99,https://boxd.it/20fo,93,Method Man|Redman|Obba Babatund�
Hulk,137000000,2003,ScienceFiction|Adventure|Action,3,2.42,https://boxd.it/27PS,138,Eric Bana|Jennifer Connelly|Sam Elliott
I Am Legend,150000000,2007,Thriller|Drama|ScienceFiction,3.5,3.42,https://boxd.it/21DG,101,Will Smith|Alice Braga|Charlie Tahan
I Origins,1000000,2014,Drama|ScienceFiction,4.5,3.66,https://boxd.it/7aRM,106,Michael Pitt|Brit Marling|Astrid Berg�s-Frisbey
Ice Age,59000000,2002,Comedy|Adventure|Family|Animation,4,3.56,https://boxd.it/2apS,81,Ray Romano|John Leguizamo|Denis Leary
Ice Age: Dawn of the Dinosaurs,90000000,2009,Comedy|Adventure|Family|Animation,4,3.18,https://boxd.it/20iC,94,Ray Romano|John Leguizamo|Denis Leary
Ice Age: The Meltdown,75000000,2006,Adventure|Comedy|Family|Animation,3,3.12,https://boxd.it/2wRk,91,Ray Romano|John Leguizamo|Denis Leary
Idiocracy,2400000,2006,ScienceFiction|Comedy|Adventure,3.5,2.96,https://boxd.it/20RW,84,Luke Wilson|Maya Rudolph|Dax Shepard
Inception,160000000,2010,Action|Adventure|ScienceFiction,5,4.21,https://boxd.it/1skk,148,Leonardo DiCaprio|Joseph Gordon-Levitt|Ken Watanabe
Indiana Jones and the Dial of Destiny,387200000,2023,Action|Adventure,4,2.91,https://boxd.it/b8vM,155,Harrison Ford|Phoebe Waller-Bridge|Mads Mikkelsen
Indiana Jones and the Kingdom of the Crystal Skull,185000000,2008,Action|Adventure,3,2.73,https://boxd.it/2aR8,122,Harrison Ford|Cate Blanchett|Karen Allen
Indiana Jones and the Last Crusade,48000000,1989,Adventure|Action,4,4.1,https://boxd.it/2baO,127,Harrison Ford|Sean Connery|Denholm Elliott
Indiana Jones and the Temple of Doom,28170000,1984,Action|Adventure,4,3.65,https://boxd.it/2bb8,118,Harrison Ford|Kate Capshaw|Ke Huy Quan
Insidious,16500000,2010,Horror|Thriller,3.5,3.23,https://boxd.it/H4k,102,Patrick Wilson|Rose Byrne|Lin Shaye
Insidious: Chapter 2,10000000,2013,Horror|Thriller,3,3.02,https://boxd.it/3dqc,106,Patrick Wilson|Rose Byrne|Lin Shaye
